GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",459,100,360,101,307,99,53,49,30,35,23,36,99,58,78,53,21,22
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",374,108,232,95,171,87,61,54,43,51,18,15,142,69,134,72,8,12
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",269,83,189,69,135,61,54,50,7,11,47,48,80,60,72,58,8,14
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",547,100,406,98,368,90,38,39,0,12,38,39,141,58,96,53,45,36
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",333,63,234,63,196,63,38,28,16,20,22,20,99,45,53,35,46,33
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",312,109,222,99,130,58,92,74,0,12,92,74,90,60,65,45,25,41
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",763,164,423,134,287,125,136,72,23,26,113,65,340,107,260,92,80,69
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",230,72,149,67,104,62,45,32,8,13,37,34,81,45,70,41,11,17
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",481,85,288,77,226,72,62,38,19,21,43,33,193,70,181,69,12,18
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",442,98,359,86,341,86,18,20,7,11,11,17,83,53,38,29,45,45
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",292,78,197,70,171,65,26,29,17,26,9,14,95,59,87,58,8,13
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",260,67,165,57,160,59,5,9,5,9,0,12,95,61,95,61,0,12
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",292,71,216,67,198,72,18,21,10,15,8,14,76,55,58,52,18,20
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",278,92,244,100,167,82,77,65,13,22,64,62,34,30,20,21,14,21
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",450,104,370,114,312,113,58,47,23,25,35,40,80,46,80,46,0,12
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",370,78,223,72,87,47,136,69,37,44,99,62,147,52,132,53,15,17
