GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",139,72,111,66,68,49,43,46,31,45,12,14,28,25,8,12,20,22
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",210,66,142,56,91,50,51,42,10,17,41,37,68,57,46,48,22,34
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",58,52,58,52,35,44,23,23,5,13,18,19,0,12,0,12,0,12
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",76,49,34,33,34,33,0,12,0,12,0,12,42,41,36,41,6,13
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",19,22,19,22,19,22,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",497,119,393,92,179,78,214,88,83,68,131,78,104,95,104,95,0,12
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",428,160,224,118,80,71,144,91,73,71,71,55,204,111,137,90,67,71
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",105,53,88,50,88,50,0,12,0,12,0,12,17,19,17,19,0,12
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",140,63,92,56,84,55,8,13,0,12,8,13,48,39,48,39,0,12
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",7,11,7,11,0,12,7,11,0,12,7,11,0,12,0,12,0,12
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",5,12,5,12,0,12,5,12,0,12,5,12,0,12,0,12,0,12
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",48,52,48,52,23,36,25,39,25,39,0,12,0,12,0,12,0,12
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",4,10,4,10,4,10,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",130,87,98,79,0,12,98,79,48,58,50,57,32,50,32,50,0,12
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",83,55,54,56,54,56,0,12,0,12,0,12,29,26,29,26,0,12
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",119,60,76,33,76,33,0,12,0,12,0,12,43,45,43,45,0,12
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",123,48,67,33,46,29,21,19,0,12,21,19,56,40,47,39,9,11
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",59,40,59,40,59,40,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",101,55,76,49,62,46,14,19,6,12,8,13,25,38,25,38,0,12
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",155,40,135,40,83,37,52,35,16,23,36,31,20,18,12,12,8,12
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",211,51,205,52,116,50,89,54,22,27,67,50,6,9,0,12,6,9
1500000US060371021071,060371021071,"Block Group 1, Census Tract 1021.07, Los Angeles County, California",231,80,227,79,148,76,79,52,0,12,79,52,4,8,0,12,4,8
1500000US060371021072,060371021072,"Block Group 2, Census Tract 1021.07, Los Angeles County, California",25,19,19,20,19,20,0,12,0,12,0,12,6,10,0,12,6,10
1500000US060371031011,060371031011,"Block Group 1, Census Tract 1031.01, Los Angeles County, California",85,42,79,41,63,38,16,18,0,12,16,18,6,8,6,8,0,12
1500000US060371031012,060371031012,"Block Group 2, Census Tract 1031.01, Los Angeles County, California",68,35,65,36,37,27,28,28,17,22,11,16,3,6,0,12,3,6
1500000US060371031021,060371031021,"Block Group 1, Census Tract 1031.02, Los Angeles County, California",18,20,18,20,18,20,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371031022,060371031022,"Block Group 2, Census Tract 1031.02, Los Angeles County, California",63,38,55,35,55,35,0,12,0,12,0,12,8,13,8,13,0,12
1500000US060371031023,060371031023,"Block Group 3, Census Tract 1031.02, Los Angeles County, California",96,59,75,56,48,51,27,34,27,34,0,12,21,24,21,24,0,12
1500000US060371031024,060371031024,"Block Group 4, Census Tract 1031.02, Los Angeles County, California",53,56,46,54,46,54,0,12,0,12,0,12,7,11,0,12,7,11
1500000US060371031025,060371031025,"Block Group 5, Census Tract 1031.02, Los Angeles County, California",34,40,27,38,27,38,0,12,0,12,0,12,7,12,7,12,0,12
1500000US060371032001,060371032001,"Block Group 1, Census Tract 1032, Los Angeles County, California",208,113,159,93,57,71,102,94,63,72,39,58,49,75,49,75,0,12
1500000US060371032002,060371032002,"Block Group 2, Census Tract 1032, Los Angeles County, California",97,56,97,56,63,47,34,32,0,12,34,32,0,12,0,12,0,12
1500000US060371032003,060371032003,"Block Group 3, Census Tract 1032, Los Angeles County, California",316,140,153,96,109,84,44,58,0,12,44,58,163,128,110,105,53,82
1500000US060371033001,060371033001,"Block Group 1, Census Tract 1033, Los Angeles County, California",105,55,77,49,65,50,12,19,12,19,0,12,28,30,28,30,0,12
1500000US060371033002,060371033002,"Block Group 2, Census Tract 1033, Los Angeles County, California",13,20,13,20,13,20,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371034001,060371034001,"Block Group 1, Census Tract 1034, Los Angeles County, California",90,64,76,60,0,12,76,60,0,12,76,60,14,22,14,22,0,12
1500000US060371034002,060371034002,"Block Group 2, Census Tract 1034, Los Angeles County, California",96,86,96,86,96,86,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371034003,060371034003,"Block Group 3, Census Tract 1034, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371034004,060371034004,"Block Group 4, Census Tract 1034, Los Angeles County, California",49,51,32,41,32,41,0,12,0,12,0,12,17,27,17,27,0,12
1500000US060371034005,060371034005,"Block Group 5, Census Tract 1034, Los Angeles County, California",160,113,12,24,0,12,12,24,0,12,12,24,148,108,132,105,16,26
1500000US060371041031,060371041031,"Block Group 1, Census Tract 1041.03, Los Angeles County, California",256,55,256,55,152,47,104,46,30,31,74,39,0,12,0,12,0,12
1500000US060371041032,060371041032,"Block Group 2, Census Tract 1041.03, Los Angeles County, California",229,55,185,50,121,43,64,36,14,17,50,33,44,37,22,26,22,27
1500000US060371041051,060371041051,"Block Group 1, Census Tract 1041.05, Los Angeles County, California",213,73,196,71,147,70,49,40,49,40,0,12,17,26,0,12,17,26
1500000US060371041052,060371041052,"Block Group 2, Census Tract 1041.05, Los Angeles County, California",901,106,770,124,404,99,366,109,41,36,325,104,131,74,97,62,34,43
1500000US060371041081,060371041081,"Block Group 1, Census Tract 1041.08, Los Angeles County, California",284,79,232,76,184,74,48,46,0,12,48,46,52,43,52,43,0,12
1500000US060371041082,060371041082,"Block Group 2, Census Tract 1041.08, Los Angeles County, California",469,101,313,99,212,93,101,61,52,50,49,39,156,83,103,58,53,59
1500000US060371041083,060371041083,"Block Group 3, Census Tract 1041.08, Los Angeles County, California",195,76,182,80,119,68,63,58,21,26,42,52,13,23,0,12,13,23
1500000US060371041241,060371041241,"Block Group 1, Census Tract 1041.24, Los Angeles County, California",411,104,350,99,264,98,86,76,38,60,48,54,61,65,27,38,34,53
1500000US060371041242,060371041242,"Block Group 2, Census Tract 1041.24, Los Angeles County, California",104,50,98,50,88,47,10,15,10,15,0,12,6,10,0,12,6,10
1500000US060371041243,060371041243,"Block Group 3, Census Tract 1041.24, Los Angeles County, California",59,38,48,40,39,37,9,15,0,12,9,15,11,16,0,12,11,16
1500000US060371042011,060371042011,"Block Group 1, Census Tract 1042.01, Los Angeles County, California",224,73,168,66,71,40,97,60,14,14,83,56,56,48,24,33,32,38
1500000US060371042012,060371042012,"Block Group 2, Census Tract 1042.01, Los Angeles County, California",260,62,247,61,175,56,72,53,54,47,18,20,13,15,6,10,7,11
1500000US060371042013,060371042013,"Block Group 3, Census Tract 1042.01, Los Angeles County, California",206,60,192,61,146,55,46,25,10,13,36,21,14,21,14,21,0,12
1500000US060371042031,060371042031,"Block Group 1, Census Tract 1042.03, Los Angeles County, California",476,85,439,87,306,75,133,70,33,39,100,59,37,37,37,37,0,12
1500000US060371042032,060371042032,"Block Group 2, Census Tract 1042.03, Los Angeles County, California",372,75,339,74,268,61,71,50,33,36,38,37,33,39,22,34,11,17
1500000US060371042041,060371042041,"Block Group 1, Census Tract 1042.04, Los Angeles County, California",240,53,213,50,144,44,69,37,6,9,63,37,27,21,21,19,6,9
1500000US060371042042,060371042042,"Block Group 2, Census Tract 1042.04, Los Angeles County, California",279,55,253,54,189,55,64,37,25,23,39,29,26,23,26,23,0,12
1500000US060371043101,060371043101,"Block Group 1, Census Tract 1043.10, Los Angeles County, California",181,47,164,48,102,39,62,36,22,22,40,30,17,19,0,12,17,19
1500000US060371043102,060371043102,"Block Group 2, Census Tract 1043.10, Los Angeles County, California",318,62,309,62,248,59,61,36,32,29,29,26,9,14,0,12,9,14
